Company Name,Experience With SBIR Program
Medical Dynamics International,1
Medical Electronics Consulting,1
Medac Inc,1
Med/graphics Div,1
"MED-CONDUIT, INC.",1
Mcp Urethanes - A Division Of,1
MC CARTHY CONSULTANTS,1
Mc Technologies Inc.,1
MCA,1
"MCB Clean Room Solutions, LLC",1
Mcclintock Assocs Inc,1
"McCoy Consulting, LLC",1
"MCD Technologies, Inc.",1
Mcdonald R A Inc,1
MCDONNELL HELICOPTER CO.,1
Mcintosh Structural,1
Mciver Consultants,1
MCLEAN RESEARCH CORP.(MRC),1
MCP Computer Products Inc.,1
"MCU DESIGNS, INC.",1
"Med-Compliance IQ, Inc.",1
Mdi Inc.,1
"Mdl, Inc.",1
Mdr Group Inc,1
"Meadow River Enterprises, Inc.",1
Measurement Solutions,1
Mechanical Eng. Services,1
Mechanical Integrity Inc.,1
"MECHANICAL SOLUTIONS, INC.",1
Mechanized Design,1
Mechanobiologix L.L.C.,1
"Mechelen, LLC",1
Mecon Associates,1
"Med-al, Inc.",1
Metatherm Inc,1
METAWAVE CORP,1
Molecular Analysis Inc,1
Mineral Separation Technologies Inc.,1
"MINFORMED, LLC",1
MINIATURE TOOL AND DIE,1
"Minimally Invasive Spinal Technology, LLC",1
MINING INNOVATIONS,1
"MINIVAX, INC.",1
Minmax Technologies,1
"Minnepura Technologies, Inc.",1
Minnesota Aquafarms Inc,1
Minnesota Datametrics,1
Minotaur Technologies,1
"Minott-Weihnacht Productions, Inc.",1
"MINUTIA, INC.",1
Minutri Inc.,1
"MIRA Medicine, Inc",1
"Mira, Inc",1
Miragen Inc,1
"MiResource, Inc.",1
MIRIDIA TECHNOLOGY INC.,1
Mirmar-quantum Joint Venture,1
MIRNA ANALYTICS LLC,1
MIRNATECH INTERNATIONAL INC,1
Miros Inc.,1
MIRTECH INC,1
"Mis, Inc.",1
"Mission Data, LLC",1
Mission Gorge Range Corp,1
Mission Innovation Inc.,1
MISSION SOLUTIONS GROUP INC,1
Mississippi Pacific Resins Incorporated,1
MINERVA LITHIUM LLC,1
MineLight Solutions LLC,1
Metcal Inc.,1
"MINDWICK, INC.",1
"MIDWEST PSYCHIATRIC RESEARCH GROUP, INC.",1
"Midwest R.F., LLC",1
Miftek Corporation,1
Migatron Corpon,1
Migrant Clinicians Network,1
MIHRAB NANOTECHNOLOGY LLC,1
Mikayola International,1
"MIKKUR, INC.",1
Mikos Ltd.,1
Mile One LLC,1
"Miles Space, Inc.",1
Military Crashpad Inc,1
"Military Pilot Supply of Texas, Inc.",1
"MilKEEP, LLC",1
"MILLENNIUM 3, INC.",1
"Millennium Materials, Inc.",1
Miller Scientific Incorporated,1
"MILLROCK TECHNOLOGY, INC.",1
"MILO BIOTECHNOLOGY, LLC",1
"MILTEC UV INTERNATIONAL, LLC",1
Milton Seifert &amp; Associates,1
MIMIC TECHNOLOGIES INC,1
Mims Technology Development,1
Minaret Systems,1
Mind Biosciences LLC,1
Mind:Set Technologies,1
MINDLIGHT LLC,1
"Mindprint Learning, LLC",1
"MINDWAYS SOFTWARE, INC.",1
Missouri Forge,1
Mistras Holdings Group,1
Mitchell/stirling Machines/sys,1
MITEBEE FARM INCORPORATED,1
Mobility Engineering,1
MobIQ Technologies,1
"MOBIUS MEDICAL SYSTEMS, L.P.",1
"MOBIUS TRANSMETALS, INC.",1
MOBODYNE LLC,1
"Mocha Technologies, Inc.",1
"Mochii, Inc",1
Modalai Inc,1
Modelithics,1
MODERN CONFLICT STUDIES GROUP,1
Modisette Associates Inc.,1
Moducell Incorportated,1
"Modular Chemical, Inc.",1
"MODULAR DEVICES, INC.",1
"MODULAR MATTER, INC.",1
Modular Process Technology,1
Modular Robotics Incorporated,1
"Modular Science, Inc.",1
"moduleQ, Inc.",1
modus nanotechnology,1
MOEBIUS SOLUTIONS INC,1
Mogee Res &amp; Analysis Assoc,1
"MOGENE CLINICAL DIAGNOSTICS, LC",1
Moire&#039; Inc.,1
Moka Blox LLC,1
Mold Dynamics,1
Molded Materials Inc.,1
Molectron Detector Inc.,1
MOLECULA CORP.,1
MobileODT Inc.,1
"MobileEarth, Inc.",1
Mobile Power Solutions,1
Mjr Inc.,1
Mithra Technologies Inc,1
"MITHRAGEN, INC.",1
"Mitochem Therapeutics, LLC ",1
Mitokine Bioscience LLC,1
"Mitokinin, Inc.",1
MitoPower LLC,1
Mitoscan Corp.,1
"MITOSCIENCES, INC",1
"Mixcomm, Inc.",1
"MixSig Labs, Inc.",1
Mixtec Signal Technology,1
Mj Research,1
MJ3 Industries,1
"MK OPTICS, INC.",1
"MOBILE HEALTH INTERVENTIONS, LLC",1
"MKF INTERESTS, LLC",1
"ML3 Scientific, Inc.",1
MLTWIST INC.,1
MM Virtual Design,1
MMM SYSTEMS,1
MMPG LLC,1
Mmt Inc,1
"MMW Technology, Inc.",1
MNW Tech Inc. ,1
Moana Bioproducts Inc,1
"MOBILE CINEMA PARK, INC.",1
Mobile Coordination Inc.,1
Mobile Green,1
"Midwest Molecular, Inc.",1
Midwest Hop Producers LLC,1
Midpac Corpon,1
MICROCHEM CORP.,1
Michael O&#039;neil Computer,1
"Michael R. Limotta &amp; Co., Inc.",1
Micro Analysis Integration LLC,1
Micro Computer Systems Inc,1
Micro Concepts Inc.,1
Micro Devices Corp,1
Micro Oscillator Inc,1
"MICRO PHOTO ACOUSTICS, INC.",1
Micro Pulse Systems Inc,1
Micro Science Inc,1
Micro Systems Consultants,1
Micro-design Inc,1
"MICRO-LAM, INC.",1
Micro-marketing Systems Inc,1
"Micro-med, Inc",1
Micro-mode Products Inc,1
"Micro-Space, Inc.",1
Microalloying International In,1
"MICROARRAYS, INC.",1
Microbac Insulating Materials,1
"MICROBEAM THERAPY, LLC",1
"MicrobeDx, Inc.",1
"MICROBIAL AEROSOL RESEARCH LABORATORY, LLC",1
"Microbial Pulse Diagnostics, LLC",1
"MICROBIAL ROBOTICS, LLC",1
"Microbial Systems, Inc.",1
"Microbiome Engineering, LLC.",1
Microbiomed Corporation,1
MICROBION CORPORATION,1
"Michael Hung, Inc.",1
Michael Fox,1
Mica Trike,1
"Metro International Biotech, LLC",1
MetCel LLC,1
Metcon Industries,1
Meteor Communications Corp,1
Meter&quot; Class Optics,1
Metera Pharmaceuticals Inc.,1
METFAB,1
METHEOR THERAPEUTICS CORPORATION,1
"Metis Health Analytics, LLC",1
Metraco Inc,1
"Metriflow, Inc.",1
"Metritrack, Inc.",1
"Metro Aerospace, LLC",1
"METRO HOP, INC.",1
"Metrohealth America, Inc.",1
MIC MONITOR LLC,1
Metrologic Inc,1
Metrology Research &amp;,1
Metron Corpon,1
"Metrozet, LLC",1
"Metselex, Incorporated",1
Meyer And Lonberg Associates,1
MFS Technovation Corp.,1
MGX,1
"MHI ENERGY INFORMATION SOLUTIONS, INC",1
Mhm Cbnsultants,1
Mia Learning LLC,1
"MIAMI VALLEY MATERIALS TESTING CENTER, LLC",1
MIAO IC DESIGN LLC,1
Microbitype LLC,1
"Microchem Technologies, Inc.",1
Middlesex Sciences,1
MicroChemica,1
Microsignal Corp.,1
MICROSILICON INC,1
"MICROSKIA, INC.",1
MICROSOLV TECHNOLOGY CORPORATION,1
"Microstar, Inc.",1
"MICROSTEM, INC.",1
"MicroStructure Imaging, Inc.",1
"Microsystems Engineering,",1
Microsystems For Education &amp;,1
Microsystems Of Buckhannon,1
"Microtech Designs, Inc.",1
"MICROTECH ENERGY, LLC",1
"MICROTECH, INC.",1
MICROTEL LLC,1
"MicroTherm, LLC",1
Microwave Cad Tools,1
Microwave Device Technology Co,1
"Microwave Measurement Systems, LLC",1
Microwave Plasma,1
Microwave Techniques LLC,1
"Microwave Technology, Inc.",1
"MICROWAVE TEST SOLUTIONS, INC.",1
Microxact Incorporated,1
Mictolithography Chemical,1
Mid-atlantic Research Corp,1
"Midas Biologicals, Inc.",1
"MIDDLE PEAK MEDICAL, INC.",1
Middle Way Photonics,1
MiddleScholars Inc.,1
"Microseismic, Inc.",1
Microscience Inc,1
MICRORID TECHNOLOGIES INC,1
Micromaterials Technology,1
Microcomputer Controls Inc.,1
"Microdexterity Systems, Inc.",1
Microdrop/intellimetrics,1
MicroDysis Inc,1
"MICROENERGY TECHNOLOGIES, INC.",1
"MICROFLUIDIC SYSTEMS, INC.",1
Microfoam Inc,1
"Microforest, Inc.",1
Microgradient Fluidics LLC,1
MICROHORTONE LLC,1
MicroHouse Technologies,1
Microimages Inc.,1
"MicroLasers, Inc.",1
MICROMECHANICS &amp; COMPOSITES LLC,1
Microreactor Solutions LLC,1
Micromentor Inc.,1
Micromet Corpon,1
"MicroMGx, Inc.",1
MICROMICS TECHNOLOGIES LLC,1
"Micromidas, Inc.",1
Microminiature Interconnect,1
"Micron Biomedical, Inc.",1
"Micron Devices, Inc.",1
MICRONAV,1
"MICROOPTIX, LLC",1
"Microporous Oxides Science and Technology, LLC",1
"MicroPowder Solutions, LLC.",1
Micropump Corp,1
"Norfolk Development Group,",1
"Noria Water Technologies, Inc ",1
Marlowe Associates Inc.,1
"Pharmagrow, Inc.",1
"Pharmazz, Inc.",1
"Phase, Inc.",1
"Phase4 Infrared, Inc.",1
"Phased n Research, Inc",1
PhAST Corp.,1
Phe Innovations,1
Phelan Natural Chemicals Co.,1
PHENIX MEDICAL LLC,1
"Phenom Technologies, Inc",1
"PHENOMAPPER, LLC",1
"PHENOTARGET BIOSCIENCES, INC.",1
"PHENOTECH, INC.",1
PHENVOGEN LLC,1
"Phenzyme, Inc.",1
"PHI TECHNOLOGY, INC.",1
"Phi Therapeutics, Inc.",1
"PHILOGENESIS, INC.",1
"PHLUX TECHNOLOGIES, INC.",1
"PHOENIX BIOSCIENCE, INC.",1
"PHOENIX BIOTECH, INC.",1
"Phoenix Communications, Inc.",1
Phoenix Engineering &amp; Comptg,1
"PHOENIX NMR, L.L.C.",1
PHOENIX WASTE SOLUTIONS INC.,1
Phonetigraphics Inc,1
"Phoresa, INC.",1
"Phoresis, Inc.",1
Phosio Corporation,1
"Phosphazene Custom Synthesis, Inc.",1
PHARMAPRINTER LLC,1
"Pharmadyne, Inc.",1
"Perimmune, Inc.",1
"Pharmacyclics, Inc.",1
Permacharge Corpon,1
Permeable Contact Lenses Inc,1
"Permetia Envirotech, Inc.",1
Peroxitech LLC,1
"Perrigo Technology, Inc.",1
Perry Technologies,1
Persis Technology Inc,1
Persistent Data Systems In,1
"Pest Management Innovations, LLC",1
"PET WIRELESS, Inc.",1
PETANETWORKS,1
"PETAOMICS, INC.",1
"PETcoil, Inc.",1
"Peterson, Stephen",1
Petrelli Research,1
Petri Bio LLC,1
Petro Trends,1
"PETROLASER, INC.",1
Petrus J Barnard,1
PEVALS LLC,1
Phage Products,1
"Pham, Tuyetnhung",1
Phantom Laboratory,1
Phar Applied Technology,1
PHARAOH INDUSTRIES,1
"Pharma-logic, Inc.",1
"PHARMACEUTICAL PRODUCTIONS, INC.",1
PHARMACOUSTICS TECHNOLOGIES LLC,1
"PHARMACUTE, LLC",1
PHOSPHOSOLUTIONS,1
Photec Diagnostics,1
Photia Incorporated,1
"PHOTO DIAGNOSTIC SYSTEMS, INC.",1
"PIASEK BIOTECH, INC.",1
"Piccolo Medical, Inc.",1
PICOLO LABS INC,1
PICOTEK LLC,1
"PICTION HEALTH, INC.",1
"Pieces Technologies, Inc.",1
Pierson Scientific Associates,1
Piezonix LLC,1
PIEZOTECH LLC.,1
PIEZOTHERMX CORP.,1
Pika Energy Llc,1
Pilato Consulting,1
PillSmart Inc.,1
Pillsy Inc.,1
"PILOT THERAPEUTICS, INC.",1
PiMEMS,1
Pin Dot Products,1
Pine Hill Labs,1
PINNEY ASSOCIATES,1
Pinon Technologies,1
"Pioneer Energy, Inc.",1
Pioneer Technology Inc,1
"PIONEER VALLEY EDUCATIONAL PRESS, INC.",1
Pioneer Valley Renewables LLC,1
Pipa LLC,1
"Pipeline Pilot, Inc.",1
"PIQPIQ, INC.",1
Pistevo Decision LLC,1
"Pittsburgh Biotechnology, Inc.",1
Phytosyn,1
Phyton Technologies Inc.,1
"Phytokinetics, Inc.",1
"PHOTONICS INNOVATIONS, INC.",1
Photo Radiation Systems,1
"PHOTOBIOLOGIX, INC.",1
"PHOTOCHEM TECHNOLOGIES, LLC",1
"Photocide Protection, Inc.",1
"PHOTOGEN, INC.",1
"PhotoMachining, Inc.",1
PHOTON INDUSTRIES,1
Photon Physics Inc,1
"Photon Prime, Inc.",1
Photonic Packaging,1
Photonic Research Inc,1
"PHOTONICENT, INC.",1
Photonics Automation Specialties LLC,1
"Photonics, Inc.",1
"PHYTERA, INC.",1
"Photonport Technologies, Inc.",1
"PhotoPharmics, Inc.",1
PHOTOSONICS,1
Photox International,1
Phycotech Inc. ,1
"Phygen Coatings, Inc.",1
Phyical Optics Corp,1
"Phylum, Inc.",1
Physical Engineering Corporation,1
Physics Front LLC ,1
"PhysioLogic Devices, Inc. ",1
PHYSIOLOGICAL TECHNOLOGIES,1
"PHYTAGENICS, INC.",1
"Perinet, Inc.",1
Perimeter Computer Systems Inc,1
Norian Corpon,1
PathRX Inc,1
"Pathway Accessibility Solutions, Inc.",1
PATHWAYS UNITED LLC,1
PathZero Technologies Inc.,1
"Patient Care Pharmacy, Inc.",1
Patrick Consult Inc,1
PATRIOT SCIENTIFIC CORP.,1
Patrocinium Systems INC,1
Patton Consulting Inc,1
Paul D. Jablonski,1
Paul Finkel Consulting,1
Paul Stockton-Sole Proprietor,1
"PAXAFE, INC.",1
Payne Associates,1
"PBB SYSTEMS, INC.",1
PBTS LLC,1
PCHEMLABS,1
Pcr Inc,1
PCT,1
"PD3 TECHNOLOGIES, INC.",1
PDM Scientific Inc,1
"Pdr, Inc.",1
"Peak Diagnostics, LLC",1
"Peak Nano Optics, LLC",1
"PEAK PERFORMANCE TECHNOLOGIES, INC.",1
Peak Protein Limited Liability Company,1
Peak Systems Inc,1
Peal Software Inc,1
PEANUT ROBOTICS INC,1
"PEAR TREE PHARMACEUTICALS, INC.",1
"Pathwaves, Inc.",1
PATHOTRAK INC.,1
PERIKINETICS INC,1
"Pathology Associates, Inc.",1
Parr Research,1
"PARRAID, LLC",1
Parsifal Systems Inc.,1
Parsortix Inc,1
PARTICLE IN CELL CONSULTING LLC,1
"PARTICLE MATTERS, INC",1
Particle.One Inc.,1
Partners In Biomaterials,1
"Partnerships One, LLC",1
PARTOE INC.,1
"Parvis, Inc.",1
Parvulus Solutions inc.,1
Parvus Corpon,1
Pasadyn Inc,1
"Pascal Tags, L.L.C.",1
PASCALOR INC.,1
Pask Research &amp; Engineering In,1
"Passive Motion Therapeutics, Inc.",1
"PASSY-MUIR, INC.",1
"Pasteuria Bioscience, LLC",1
Patagonia Flow Dynamics LLC,1
"PATAIGIN, LLC",1
Patel Engineers,1
PATERNITY TESTING CORPORATION,1
"PATHENS, INC.",1
Pathfinder Advanced Computing,1
Pathfinder Electronics LLC,1
"Pathfinder Health, Inc.",1
Pathfinder Inc,1
"PEARL TECHNOLOGY HOLDINGS, LLC",1
"PEARNETS, INC.",1
Peculiar Technologies,1
Peda Corpon,1
PERCEPTION DYNAMICS INSTITUTE,1
PERCEPTIVE SENSOR TECHNOLOGIES LLC,1
"PERCEPTIVO, LLC",1
"Perceptoscope, A Public Benefit Corporation",1
Perceptrix Inc,1
Perceptron - The Machine Visio,1
"Perceptual Engineering, Inc.",1
"Perceptual Robotics, Inc.",1
"Perceus, Inc.",1
Percev LLC,1
"Percipience Group, Inc.",1
Peregrine Engineering,1
"Peregrine Turbine Technologies, LLC",1
Peregrino Technology,1
Perez Associates,1
"PERFECT EXPRESSION, INC.",1
"Perfecta Federal, LLC",1
"Performance Controls, Inc",1
"PERFORMANCE DESIGNS, INC.",1
PERFORMANCE MICROWAVE,1
"Performance Signal Integrity,",1
"Performance Software Associates, Inc.",1
Performigence Corporation,1
"Perfusion Medical, LLC",1
Perfuzia Medical,1
"Peri, LLC",1
PERICLE COMMUNICATIONS COMPANY,1
PeriCor LLC,1
Perigean Technologies LLC,1
PERCEPTION ANALYTICS &amp; ROBOTICS LLC,1
"PERCASSIST, INC.",1
"Peptimmune, Inc.",1
"PENDERIA TECHNOLOGIES, INC.",1
Pedagogy World,1
"PEERSAT, LLC ",1
"Pegasus Glassworks, Inc.",1
"Pegasus Technical Services, Inc.",1
"PEKOSOFT, LLC",1
PEL-FREEZ CLINICAL SYSTEMS,1
Pelagos Corp,1
Pelatron Technologies,1
Pelavin Research Institute,1
"PELICAN THERAPEUTICS, INC.",1
"Pelletized Straw, LLC",1
PELRON CORP.,1
Pen Research Inc,1
"Penederm, Inc.",1
Peptide Analysis Laboratory,1
Penetradar Corp.,1
"PENFORGEL, LLC",1
Peninsula Energy Partners,1
Peninsula Health Concepts,1
"Penn Semiconductor, LLC",1
Penran Corp.,1
Pentalim Corporation,1
"PENTAMER PHARMACEUTICALS, INC.",1
Pentek Inc.,1
People Prodigy Inc,1
People Productions,1
"Pepgel, LLC",1
Peprotech Inc,1
"PIVOT BIO, INC.",1
Pivot Industries Limited,1
Pivot Labs LLC,1
"Predictive Cyber Protection, LLC",1
Predictive Technologies Corporation,1
"PreDxion Bio, Inc.",1
"PREHAB TECHNOLOGIES, LLC ",1
"Prehensile Technologies, LLC ",1
PreID Inc.,1
"Premier Botanicals, Ltd.",1
"PREMINON, LLC",1
Premise Data Corporation,1
"Premkumar, Louis",1
Prendismo,1
"Prepped Health, LLC",1
Prescient Code Solutions,1
PRESCOTT PRODUCTS,1
Preservation By Pressurization,1
"Pressure Products Company, Inc.",1
"Pressure Technology, Inc.",1
Prestigious Technology Service,1
Preventa Medical Corporation,1
"Preventive Lifestyles, Inc.",1
"PREVENTIVE NUTRIENT COMPANY, INC",1
"PREVEP, LLC",1
PRI RESEARCH &amp; DEVELOPMENT CORP.,1
"Priestley Consulting, L.L.C.",1
PRIM,1
Prima SpecialtyVectors,1
Primal Solutions Inc.,1
Primal Space Systems Inc.,1
PRIMAL THERAPIES INC,1
"PRIME 3 SOFTWARE, LLC",1
"Predictive Design Technologies, LLC",1
"PREDICTIVE BIOLOGY ANALYTICS, LLC",1
"Pixel Physics, Inc.",1
"PREDICTIVE ANALYTICS, LLC",1
Pproseeq,1
Pracsys Corp.,1
Practica Research,1
Practical Design Labs For,1
"PRACTICAL IMAGINEERING, INC.",1
"Practical Memory Institute, Ltd",1
"Praesidium Technologies, Inc.",1
"Pragmasoft, Inc.",1
Pragmatica Corporation,1
"PRAIRIE GOLD, INC.",1
PranaScience Institute,1
"PRASAN PHARMACEUTICAL CONSULTANTS, LLC",1
PRatian LLC,1
Praxis International Inc,1
"PRECESS ENGINEERING, INC.",1
"PRECIBIO MEDICAL DEVICES, LLC",1
"PRECISION DETECTORS, INC.",1
"PRECISION HUMAN BIOLABORATORY, INC.",1
"PRECISION IMAGING METRICS, INC.",1
Precision Innovative,1
"Precision Made Products, LLC.",1
"PRECISION MEMBRANES, LLC",1
Precision Prototype,1
"PRECISION SURFACE SCIENCE, LLC",1
PRECISION THERANOSTICS INC,1
PRECISION VIROLOGICS INC,1
"Precisyx, LLC",1
"Predata, Inc.",1
Prediction Health Inc.,1
"Prime Genomics, Inc.",1
Primelabs LLC,1
"Primet Precision Materials, Inc.",1
"PRIMETAZ, LLC",1
Productable Inc.,1
PRODUCTION RESOURCES INC,1
Productivity Solutions,1
"PROFESSIONAL BEEF SERVICES, LLC",1
PROFESSIONAL LEARNING SYSTEMS,1
Professional Tech Service Of T,1
Professional Water,1
Profile Associates,1
ProFishent Incorporated,1
"PROGENESIS, INC.",1
PROGENITOR INC.,1
"PROGNOSYS, LLC",1
"Program Development, Training",1
Program Support Services,1
Programmatics Inc,1
Progress Education Inc,1
Progress Industries Inc,1
"PROGRESSIVE DESIGN, INC.",1
Progressive Engineering Services,1
"Progressive Exercisers, Inc.",1
Project Sunrise Inc,1
PROJECTS UNLIMITED,1
Projeo Corporation,1
"Prolifagen, LLC",1
"PROLIFARON, LLC",1
"PROLINIA, INC.",1
"Prolinx, Inc.",1
Prolong Water Service Corp.,1
"PROLUDE MEDICAL, INC.",1
Product Remanufacturing Centers Inc,1
"PRODO LABORATORIES, INC.",1
"PROCRYSTA BIOLOGIX, INC.",1
"PrivOps, LLC",1
"Primo Optics, Inc.",1
PRINCEPT RESEARCH GROUP,1
Princeton Polymer Laboratories,1
Princeton Resources Inc,1
Princeton Separations Inc,1
Princeton Teaching Assoc,1
Principia Supervietus Inc,1
Principle Technologies,1
PRINCIPLED STRATEGIES INC.,1
Printed Performance Innovations,1
Prisam LLC,1
Prisere Llc,1
"Prism Solar Technologies, Inc.",1
Pro-active Resources,1
"Procons Laboratories, Inc.",1
"Pro-tech-tube International,",1
PRO-telligent LLC,1
"Proactive Life, Inc.",1
"Probe Systems, Inc.",1
Probiologics International Inc,1
"PROBIOME THERAPEUTICS, INC.",1
"Probiotix, Inc.",1
"Procept, Inc.",1
Process Engineering,1
Process Research And,1
Processtech Inc,1
ProcessTek,1
PROCOMM ENTERPRISES,1
"PPGX, INC.",1
PowerTHRU,1
"Powers &amp; Zahr, LLC ",1
"PolarityTE MD, Inc.",1
Plexus Research Corp.,1
"Plg, Inc.",1
Plitzie LLC,1
"Ploto, Inc.",1
"PLOWSHARE TECHNOLOGIES, INC.",1
PLRA,1
"Plugnix, LLC",1
"PLUROGEN THERAPEUTICS, INC.",1
"Plus Ultra Technologies, Inc.",1
"PLUSN, LLC",1
"Pm Labs Of Nevada, Inc.,",1
Pmi - Phoenix Metallurgical In,1
"Pmi Industries, Inc.",1
Pneumafil Corp.,1
"Pneumax, LLC",1
"PNEUMICO, INC.",1
PneumoNIX Medical Inc.,1
"PNEUMOTACTIX, LLC",1
"PNEUVENTURES, INC.",1
"Pod Associates, Inc.",1
Point Biomedical Corporation,1
POINT OF CAREWARE,1
"Point Source Power, Inc.",1
"Pointe Scientific, Inc.",1
"POINTPRO, INC.",1
Polanyi Knowledge Research,1
Polar Research Lab Inc.,1
PolArctic LLC,1
Polaris Aero LLC,1
"Plexision, Inc.",1
"PLEX Solutions, LLC ",1
Plesscor Optronics Inc,1
Plant Growth Dev Corp.,1
PIXL,1
"PIXM, INC.",1
"PKS Consulting, Inc.",1
"Plains Cupid, LLC",1
"PLAKDX, LLC",1
"Planet Earth Science, Inc.",1
"Planet Earth Television, Inc.",1
"PLANET3, INC.",1
Planetary Emissions Management Inc.,1
"Planners Collaborative, Inc",1
Planning &amp; Decision Sciences I,1
Planphoria LLC,1
Plant Advancements,1
"PlantGenix, Inc.",1
"PLECTIX BIOSYSTEMS, INC.",1
Plasma Kinetics Inc.,1
"Plasma Plus, Inc.",1
Plasma Tech Corp.,1
Plasmatron Coatings &amp;,1
Plasmonic Diagnostics LLC,1
PLASTIBLOK LTD.,1
Plastomics Inc.,1
Platform Technology Ventures LLC,1
Platt Systems,1
Plaur Corp,1
Play Fair Inc.,1
"Play-Based Technologies, LLC",1
PLECTICA LLC,1
Polarity Labs,1
"Polaron Technologies, Inc.",1
"POWERIX TECHNOLOGIES, LLC",1
Polartronix,1
Poplicus Incorporated,1
Popneuron LLC,1
"POPULATION DIAGNOSTICS, INC.",1
Portable Solar Inc.,1
PORTICOS INC.,1
"Portmanteau Industries, LLC",1
"Portsmouth Scuba, Inc.",1
"posed2, Inc.",1
Positech Inc,1
"Positive Behavioral Solutions, Inc.",1
"POSITIVE DRIVING SYSTEMS, LLC",1
"Positron Dynamics, Inc.",1
"POSSIBLE REALITY, INC.",1
"POSSIS MEDICAL, INC.",1
"POST OAK PHARMACEUTICALS, INC.",1
"POSTGENOMICS, INC.",1
"Potrero Medical, Inc.",1
Potteiger Consulting Services LLC ,1
"POULOS AIR &amp; SPACE, INC.",1
"Pow Genetic Solutions, Inc.",1
"Powder Technology, Inc.",1
Powell Associates,1
Power Alcohol Inc.,1
Power Engineering Assoc,1
"Power For Humanity, Inc.",1
"Power Hub Ventures, LLC",1
Power Kinetics Inc,1
"Power Sciences, Inc.",1
Power Systems Consultants Inc.,1
"POP OATS, LLC",1
Poolman Shih &amp; Platton Inc,1
Poointcare Genomics Corporation,1
Polygen Corpon,1
"Polhemus Laboratorytories,",1
Policy Studies Assoc Inc,1
POLKA DOT IO INC.,1
"Poly Software International,",1
Poly Solar Inc.,1
"POLY-FIBER, INCORPORATED",1
PolyAurum LLC ,1
Polycel Inc,1
Polyclonal Sera Labs Inc,1
PolyCore Therapeutics LLC.,1
Polycycle,1
PolyDyne,1
Polyform Corp,1
"PolyInsight, LLC",1
"Pongr, Inc",1
Polylithics Inc,1
"Polymer Instrumentation And Consulting Services, Ltd.",1
Polymer Phases Inc.,1
Polymer Research Corp. Of Amer,1
"Polymer Technologies, Inc.",1
POLYMERIC DESIGNS LLC,1
POLYPLUS BATTERY CO. INC.,1
"PolyPV, LLC",1
Polyron,1
Polytorx,1
"PolyTronics, Inc.",1
"Pomodyne, Inc.",1
Pond Life Technologies Limited Liability Company,1
"PARMEDICS, INC.",1
Parmatech Corp,1
"PARMAN TECH, LLC",1
"OCEAN SENSOR SYSTEMS, INC.",1
"Oceanic Imaging Consultants, Incorporated",1
Oceanscience Group,1
"OceanServer Technology, Inc.",1
"Oceanyx Pharmaceuticals, Inc. ",1
OCELAND LLC,1
OCELLA INC,1
Oci,1
"OCTANT TECHNOLOGIES, INC.",1
"Octex Holdings, LLC ",1
OCULOGENEX,1
Oculogica Inc,1
Oculokinetics Inc,1
ODHNER HOLOGRAPHICS,1
"OdoRcept, LLC",1
"Odyssey Scientific, Inc.",1
OE USA INCORPORATED,1
Oem Development Corporation,1
Off Planet Research L.L.C.,1
"Off Planet Research, LLC",1
"OFF THE CHART ENTERPRISES, LLC",1
"OFF-WORLD, INC.",1
Office  Of  Nicholas  N  Rive,1
"OFFSET3, LLC",1
Oft Associates,1
"OGDEN WELDING SYSTEMS, INC.",1
Ogive Technology Inc.,1
"Ohio Lumex Co., Inc.",1
"Ohio Surgical Optics, LLC",1
OHMYGOV INC.,1
Ocean Wave Energy Co,1
"OCEAN DESIGN, INC.",1
"ONE STOP SATELLITE SOLUTIONS, INC.",1
"Oc Systems, Inc.",1
NXM labs INC.,1
"NXT BIOLOGICS, INC.",1
NXTECH INC,1
"NXTek, LLC",1
"NYRAD, Inc",1
O I Corp,1
"O&amp;N Engineering-Development, P.C.",1
O&#039;connor Diagnostics Corp,1
O&#039;Fallon Casting,1
"O&#039;Neil &amp; Associates, Inc.",1
"O. Donn Grace, Phd, Inc.",1
O.I. Analytical,1
OAHU GROUP LLC,1
Oak Hill Brands Corp.,1
"OAK MANAGEMENT, INC.",1
"OAK RIDGE MICRO-ENERGY, INC.",1
Oaktree Automation Inc,1
Oakwood Industries,1
OAM Photonics LLC,1
"OASIS RESEARCH CENTER, INC.",1
"Oasys, Inc.",1
Obital Technologies Corp,1
OBJECT PARTNERS INC,1
"OBJECT SERVICES &amp; CONSULTING, INC.",1
"Object Workshops, Inc.",1
"Objective Ed, Inc.",1
"OBLATE OPTICS, INC.",1
"Observr, Inc.",1
"Obslap Research, Inc.",1
OishiiTech,1
Ojo Solutions,1
Okeanus Science &amp; Technology LLC,1
"Olea Systems, Inc.",1
OmniPhase Reserach Laboratories Inc.,1
Omnipresense Corporation,1
"Omniscient Labs, Inc.",1
Omohundro Company,1
"On Target Therapeutics, LLC",1
"ON-LINE COMMUNICATIONS, INC.",1
On-Line Instrument Systems,1
"ON-RAMP WIRELESS, INC.",1
ONCO NOSTIC TECHNOLOGIES INC,1
"ONCOC4, INC.",1
"Oncodisc, Inc.",1
ONCOFACTOR CORPORATION,1
Oncology Systems Inc,1
"Oncometrics, Inc.",1
"ONCONOME, INC.",1
OncoPharmacia,1
Oncore Analytics Inc,1
"Oncormed, Inc.",1
"Oncorus, Inc.",1
