Subtopics_name,2022-focus area and code,2021-focus area and code,2020-focus area and code,2019-focus area and code,2018-focus area and code,2017-focus area and code,2016-focus area and code,2015-focus area and code,2014-focus area and code,2012-focus area and code,2011-focus area and code,2010-focus area and code,2009-focus area and code,2008-focus area and code,2007-focus area and code,2006-focus area and code,2005-focus area and code,2004-focus area and code
Long Range Space RF Telecommunications,,,,,,,,,TA5.2 Radio Frequency Communications; H9.03,,Topic O1 Space Communications; O1.05,Topic O1 Space Communications; O1.05,Topic O1 Space Communications; O1.07,,,,,
Long Range and Near Earth RF Communications,,,,,,,,,,,,,,,,,Topic S8 Science Spacecraft Systems Technology; S8.03,
 and Acquisition,,,,,,,,,,,,,,,,Topic X9 Propulsion and Propellant Storage; X9.01,,
Long-Duration Space Human Factors,,,,,,,,,,,,,,,,Topic X12 Space Human Factors and Food Systems; X12.02,,
Long-Life Validation and Flight Qualification of Nuclear Space Systems Hardware Prior to Flight Use,,,,,,,,,,,,,,,,,Topic X10 Prometheus Technologies; X10.01,
Long-Range Optical Telecommunications,Focus Area 5 Communications and Navigation; H9.01,Focus Area 5 Communications and Navigation; H9.01,,,,,,,,,,,,,,,,
Low Cost Heavy Lift Propulsion,,,,,,,,,,,Topic X2 Propulsion; X2.01,,,,,,,
Low Cost Radiation Hardened Integrated Circuit Technology,,,,Focus Area 21 Small Spacecraft Technologies; Z8.03,Focus Area 21 Small Spacecraft Technologies; Z8.03,,,,,,,,,,,,,
 High Accuracy Timing Signals,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.04,,,,,
Low Earth Orbit (LEO) Platform Utilization to Foster Commercial Development of Space,,Focus Area 22 Low Earth Orbit Platform Utilization and Microgravity Research; H8.01,,,,,,,,,,,,,,,,
Low Earth Orbit Platform Utilization and Microgravity Research,,,,Focus Area 22 Low Earth Orbit Platform Utilization and Microgravity Research; H8.01,,,,,,,,,,,,,,
Low Emissions Propulsion and Power,,,,,,,,TA12.5 Cross-Cutting; A1.03,,,,,,,,,,
Low Emissions Propulsion and Power-Turboelectric and Hybrid Electric Aircraft Propulsion,,,,,,Focus Area 18 Air Vehicle Technology; A1.03,,,,,,,,,,,,
Low Emissions/Clean Power,,,,,,,,,TA1.3 Air Breathing Propulsion Systems; A3.03,Topic A3 Air Vehicle Technologies; A3.03,,,,,,,,
Low Emissions/Clean Power - Combustion Technology/Emissions Measurement Techniques,,,,,Focus Area 18 Air Vehicle Technology; A1.03,,TA2.1 Chemical Propulsion; A1.03,,,,,,,,,,,
Low Emissions/Clean Power - Environmentally Responsible Propulsion,Focus Area 18 Air Vehicle Technology; A1.03,,Focus Area 18 Air Vehicle Technology; A1.03,Focus Area 18 Air Vehicle Technology; A1.03,,,,,,,,,,,,,,
Low Temperature Mechanisms,,,,,,,,,,,,Topic X5 Lightweight Spacecraft Materials and Structures; X5.05, Materials and Mechanisms; X4.03, Materials and Mechanisms; X4.01, Materials and Mechanisms; X6.02,,,
 Radiation Hardened Avionics,,,,,,,,,,,,,,,,Topic X2 Avionics and Software; X2.04,,
Low Thrust and Propellantless Propulsion Technologies,,,,,,,,,,,,,,,,,Topic S5 Sun - Solar System Connection; S5.01,
 Power and Mass CO2 and Humidity Control for xEMU,Focus Area 6 Life Support and Habitation Systems; H4.07,,,,,,,,,,,,,,,,,
 Rapid Spacecraft Design and Multi-Subsystem Functionality,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.03,,,
Low-Earth Orbit Platform and Microgravity Utilization for Terrestrial Applications,Focus Area 22 Low Earth Orbit Platform Utilization and Microgravity Research; H8.01,,,,,,,,,,,,,,,,,
Low-Power Multi-Gas Sensor for Spacesuits,Focus Area 6 Life Support and Habitation Systems; H4.06,,,,,,,,,,,,,,,,,
 and Testing,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.08,,,
Lunar & Planetary Surface Power Management & Distribution,,,Focus Area 2 Power Energy and Storage; Z1.05,,,,,,,,,,,,,,,
Lunar Dust Filtration and Monitoring,Focus Area 24 Dust Mitigation and Extreme Lunar Environment Mitigation Technologies; Z13.04,,,,,,,,,,,,,,,,,
Lunar Dust Management Technology for Spacecraft Atmospheres and Spacesuits,,,Focus Area 24 Dust Mitigation; H3.03,,,,,,,,,,,,,,,
Lunar Dust Mitigation Technology for Spacesuits,,Focus Area 24 Dust Mitigation; Z13.03,,,,,,,,,,,,,,,,
Lunar ISRU Development and Precursor Activities,,,,,,,,,,,,,Topic X3 Lunar In-Situ Resource Utilization; X3.02,Topic X3 Lunar In Situ Resource Utilization; X3.03,,,,
Lunar In Situ Autonomous Health Monitoring,,,,,,,,,,,,,,,,Topic X14 Exploration Medical Capabilities; X14.02,,
Lunar Polar Resource Prospecting and Collection,,,,,,,,,,,,,,,,Topic X4 Lunar In Situ Resource Utilization (ISRU); X4.03,,
Lunar Regolith Excavation and Material Handling,,,,,,,,,,,,,,Topic X3 Lunar In Situ Resource Utilization; X3.01,Topic X5 Lunar In-Situ Resource Utilization (ISRU); X5.02,Topic X4 Lunar In Situ Resource Utilization (ISRU); X4.01,,
Lunar Resources,,,,,Focus Area 8 In-Situ Resource Utilization; H2.01,Focus Area 8 In-Situ Resource Utilization; H2.01,,,,,,,,,,,,
Lunar Rover Technologies for In-situ Resource Utilization and Exploration,,,Focus Area 4 Robotic Systems for Space Exploration; Z5.05,Focus Area 4 Robotic Systems for Space Exploration; Z5.05,,,,,,,,,,,,,,
Lunar Science Instruments and Technology,,,,,,,,,,,, Detectors and Instruments; S1.11, Detectors and Instruments; S1.11, Detectors and Instruments; S1.11,,,,
Lunar Surface 50 kW-Class Solar Array Structures, and Assembly; H5.01,,,,,,,,,,,,,,,,,
Lunar Surface Communication Networks and Orbit Access Links,,,,,,,,,,,,,Topic O1 Space Communications; O1.08,Topic O1 Space Communications; O1.08,,,,
Lunar Surface Excavation,Focus Area 4 Robotic Systems for Space Exploration; Z14.01,,,,,,,,,,,,,,,,,
Lunar Surface Navigation,,,,,,,,,,,,,Topic O4 Navigation; O4.03,Topic O4 Navigation; O4.03,,,,
Lunar Surface Solar Array Structures,, and Assembly; H5.01, and Assembly; H5.01, and Assembly; H5.01,,,,,,,,,,,,,,
Lunar Surface Systems,,,,,,,,,,,,,,Topic X5 Lunar Operations; X5.01,,,,
Lunar Volatile Resource Prospecting and Collection,,,,,,,,,,,,,,,Topic X5 Lunar In-Situ Resource Utilization (ISRU); X5.03,,,
Lunar and Planetary Surface Power Management and Distribution, Energy and Storage; Z1.05, Energy and Storage; Z1.05,,,,,,,,,,,,,,,,
MISSE Experiments,,,, and Assembly; Z4.01,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; Z4.01,,,,,,,,,,,,,
Machine Learning and Deep Learning for Science and Engineering,,,,,Focus Area 13 Information Technologies for Science Data; S5.03,,,,,,,,,,,,,
Manufacturability Assessment as a Design Constraint for Advanced Tailorable Composites,, and Assembly; Z4.06,,,,,,,,,,,,,,,,
Manufacturing of Polymer Matrix Composite (PMC) Structures,,,,,,,,,,,,Topic X5 Lightweight Spacecraft Materials and Structures; X5.03,,,,,,
 in-space electric propulsion thrusters,,,Focus Area 1 In-Space Propulsion Technologies; Z10.04,,,,,,,,,,,,,,,
Market Driven Space Exploration Payloads,,,,,,,,,,,,,,,,,,Topic B4 Partnerships and Market Driven Research; B4.02
Market Driven Space Infrastructure,,,,,,,,,,,,,,,,,,Topic B4 Partnerships and Market Driven Research; B4.03
 and Conditioning for ISRU,,,,,,Focus Area 8 In-Situ Resource Utilization; H1.01,,,,,,,,,,,,
Mars Atmosphere ISRU for Mission Consumables,,,,,Focus Area 8 In-Situ Resource Utilization; H1.01,,,,,,,,,,,,,
Mars In Situ Robotics Technology,,,,,,,,,,,,,,,,,Topic S1 Robotic Exploration of the Moon and Mars; S1.02,Topic S5 Mars Exploration; S5.02
Mars Soil Acquisition and Processing for In Situ Water,,,,,,Focus Area 8 In-Situ Resource Utilization; H1.02,,,,,,,,,,,,
Mars Surface Solar Array Structures,,,,,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; H5.01,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; H5.01,,,,,,,,,,,,
Mars and Deep Space Telecommunications,,,,,,,,,,,,,,,,,,Topic S5 Mars Exploration; S5.03
 Descent and Landing Sensors,,,,,,,,,,,,,,,,Topic S1 Robotic Exploration of the Moon and Mars; S1.03,,
 Disposable EVA Life Support System,,,,,Focus Area 6 Life Support and Habitation Systems; H4.03,,,,,,,,,,,,,
Material Concepts for Lightweight Structure Technology Development,,,,,,,,,,,,,,,,Topic X6 Lightweight Structures and Materials; X6.03,,
Materials Science for In-Space Fabrication and Radiation Protection,,,,,,,,,,,,,,,,,,Topic B1 Cross-Disciplinary Physical Sciences; B1.03
Materials and Structures for Future Aircraft,,,,,,,,,,,Topic A2 Fundamental Aeronautics; A2.01,Topic A2 Fundamental Aeronautics; A2.01,Topic A2 Fundamental Aeronautics; A2.01,Topic A2 Fundamental Aeronautics; A2.01,Topic A2 Fundamental Aeronautics; A2.01,Topic A2 Fundamental Aeronautics; A2.01,,
 and Technologies for Advancing In-Space Electric Propulsion Thrusters,Focus Area 1 In-Space Propulsion Technologies; Z10.04,Focus Area 1 In-Space Propulsion Technologies; Z10.04,,,,,,,,,,,,,,,,
Measurements of Net Ocular Blood Flow,,,,,,,,TA6.3 Human Health and Performance; H12.01,,,,,,,,,,
Mechanisms for Extreme Environments,Focus Area 24 Dust Mitigation and Extreme Lunar Environment Mitigation Technologies; Z13.02,,,,,,,,,,,,,,,,,
Metamaterials and Metasurfaces Technology  for Remote Sensing Applications,,, Detectors and Instruments; T8.04, Detectors and Instruments; T8.04,,,,,,,,,,,,,,
Methane In-Space Propulsion,,,,,,Focus Area 1 In-Space Propulsion Technologies; Z10.02,,,,,,,,,,,,
Metric Tracking of Launch Vehicles,,,,,,,,,,,Topic O4 Navigation; O4.01,Topic O4 Navigation; O4.01,Topic O4 Navigation; O4.01,Topic O4 Navigation; O4.01,,,,
Microbial Monitoring and Control for Spacecraft Cabins,,,,Focus Area 6 Life Support and Habitation Systems; H3.03,,,,,,,,,,,,,,
Microbial Monitoring for Spacecraft Cabins,,Focus Area 6 Life Support and Habitation Systems; H3.02,Focus Area 6 Life Support and Habitation Systems; H3.02,,,,,,,,,,,,,,,
Microwave Technologies for Remote Sensing,,,,,,,TA8.3 Sensor Systems; S1.02,TA8.3 Sensor Systems; S1.02,TA8.3 Sensor Systems; S1.02, Detectors and Instruments; S1.02,,,,,,,,
 and Attitude Control Systems,,,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.07,,,
Miniature Integrated Payload Suites,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.02,,,,,,
Miniature Radiation Pulse Processing Electronics,,,,,,,,,,,,,Topic X14 Space Radiation; X14.02,,,,,
Miniaturized Digital EVA Radio,,,,,,,,,,,,,Topic O1 Space Communications; O1.04,Topic O1 Space Communications; O1.04,Topic O1 Space Communications and Navigation; O1.06,,,
Mission Operations,,,,,,,,,,,,Topic O3 Processing and Operations; O3.01,,,Topic O3 Processing and Operations; O3.04,,,
Mitigation of Aircraft Aging and Durability-Related Hazards,,,,,,,,,,,,Topic A1 Aviation Safety; A1.01,Topic A1 Aviation Safety; A1.01,,,,,
Mitigation of Aircraft Aging and Durability-related Hazards,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.01,Topic A1 Aviation Safety; A1.01,,,
Mitigation of Aircraft Structural Damage,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.12,,,,
Model Based Systems Engineering for Distributed Development,,,Focus Area 6 Life Support and Habitation Systems; H6.04,Focus Area 6 Life Support and Habitation Systems; H6.04,,,,,,,,,,,,,,
Model-Based Enterprise,,Focus Area 23 Digital Transformation for Aerospace; T11.05,,,,,,,,,,,,,,,,
Model-Based Systems Engineering for Distributed Development,,Focus Area 23 Digital Transformation for Aerospace; H6.04,,,,,,,,,,,,,,,,
Modeling and Measurements for Propulsion and Power,,,,,,,,TA11.2 Modeling; Z1.01,TA11.2 Modeling; Z1.04,,,,,,,,,
 and Simulation for Control of Aerospace Vehicles in Flight Test,,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.08
 and Simulation for Control of Aerospace Vehicles to Prepare for Flight Test,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.08,
 Simulation and Analysis Technologies,,,,,,,,,,,,,,,Topic S6 Information Technologies; S6.01,,,
Modular Systems for Cost-Effective Spacecraft Missions,Focus Area 21 Small Spacecraft Technologies; Z8.10,,,,,,,,,,,,,,,,,
Modular and Batch-Producible Small Spacecraft,,Focus Area 21 Small Spacecraft Technologies; Z8.12,,,,,,,,,,,,,,,,
Monitoring and Control for Spacecraft Environmental Quality and Fire Protection,,,,,,,,,,,,Topic X3 Life Support and Habitation Systems; X3.03,,,,,,
Motors and Drive Systems for Cryogenic Environments,,,,,,,,,,,,,,,,Topic X5 Extreme Environment Mechanisms; X5.01,,
Multi-Use Microgravity and Software,,,,,,,,,,,,,,,,,Topic X14 Space-Based Industry Enabling Technologies; X14.02,
Multifunctional Autonomous Robust Sensor Systems,,,,,,,,,,,,,,,,,,Topic S1 Sun Earth Connection; S1.03
Multifunctional Materials and Structures,,,,,,,,TA12.2 Structures; H5.03,,,,,,,,,,
Multifunctional Materials and Structures: Integrated Structural Health Monitoring for Long Duration Habitats,,,,,,,TA12.1 Materials; H5.03,,,,,,,,,,,
NDE Sensors,,,,,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; Z11.01,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; Z11.01,TA12.1 Materials; H13.02,TA12.5 Cross-Cutting; H13.02,,,,,,,,,,
 and Analysis,,,, and Assembly; Z11.01,,,,,,,,,,,,,,
NDE Simulation and Analysis,,,,,,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; Z11.02,TA12.5 Cross-Cutting; H13.01,,,,,,,,,,,
Nano/Micro Satellite Launch Vehicle Technology,,,,,,,,,,Topic E1 Human Exploration and Operations Mission Directorate Select Subtopics; E1.02,,,,,,,,
Nano/Small Sat Launch Vehicle Technology,,,,,,,,,,,Topic O2 Space Transportation; O2.01,,,,,,,
NanoSat Launch Vehicle Technologies,,,,,,,,,,,,,,Topic S4 Low-cost Small Spacecraft and Technologies; S4.01,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.01,,,
Nanosensors,,,,,,,,,,,,,,,,,Topic S2 Robotic Exploration Throughout the Solar System; S2.03,
Nanostructured Materials,,,,,,,,,,,,,,,,,Topic X2 Advanced Materials and Structural Concepts (AMSC); X2.03,
Neutron Spectroscopy,,,,,,,,,,,,,,,Topic X14 Space Radiation; X14.03,,,
Next Generation Air Transportation - Airportal,,,,,,,,,,,,,,,Topic A3 Airspace Systems; A3.02,Topic A3 Airspace Systems; A3.02,,
Next Generation Air Transportation System - Airspace,,,,,,,,,,,,,,,Topic A3 Airspace Systems; A3.01,Topic A3 Airspace Systems; A3.01,,
Next Generation Air-Traffic Management Systems,,,,,,,,,,,,,,,,,Topic A3 Airspace Systems; A3.01,Topic A3 Airspace Systems; A3.01
Next Generation Oxygen Concentrator for Medical Scenarios,,,,,,,,,TA6.3 Human Health and Performance; H12.01,,,,,,,,,
NextGen Airportal,,,,,,,,,,,,,Topic A3 Airspace Systems; A3.02,Topic A3 Airspace Systems; A3.02,,,,
NextGen Airspace,,,,,,,,,,,,,Topic A3 Airspace Systems; A3.01,Topic A3 Airspace Systems; A3.01,,,,
Noise Breakthrough Turbine-Based Propulsion Technologies,,,,,,,,,,,,,,,,,Topic A2 Vehicle Systems; A2.01,
Non-Toxic In-Space Propulsion,,,,,,,,,,,,Topic X2 Advanced Propulsion; X2.02,,,,,,
Non-Toxic Launch Vehicle Power for Thrust Vector and Engine Actuation,,,,,,,,,,,,,,,,Topic X8 Energy Generation and Storage; X8.01,,
Non-Traditional Airspace Operations,,,Focus Area 20 Airspace Operations and Safety; A3.04,Focus Area 20 Airspace Operations and Safety; A3.04,,,,,,,,,,,,,,
Non-Wet Prep Electrodes,,,,,,,,,,,Topic X13 Exploration Medical Capability; X13.02,,,,,,,
 and Analysis, and Assembly; Z4.05, and Assembly; Z4.05, and Assembly; Z4.05,,,,,,,,,,,,,,,
Nontraditional Airspace Operations,,Focus Area 20 Airspace Operations and Safety; A3.04,,,,,,,,,,,,,,,,
Nontraditional Airspace Operations and Aerial Wildfire Response,Focus Area 20 Airspace Operations and Safety; A3.04,,,,,,,,,,,,,,,,,
Novel Imaging Technologies for Space Medicine,,,,,,,TA6.3 Human Health and Performance; H12.03,,,,,,,,,,,
Novel Spectroscopy Technology and Instrumentation,,,,,,,,TA8.1 Science Instruments; S20.01,TA8.1 Science Instruments; S20.02,,,,,,,,,
Nuclear Surface Power,,,,,,,,,,,,,,,Topic X8 Energy Generation and Storage; X8.03,,,
Nuclear Thermal Propulsion,,,Focus Area 1 In-Space Propulsion Technologies; Z10.03,Focus Area 1 In-Space Propulsion Technologies; Z10.03,,,,,,,,Topic X2 Advanced Propulsion; X2.03,,,,Topic X9 Propulsion and Propellant Storage; X9.04,,
Nuclear Thermal Propulsion (NTP),,,,,Focus Area 1 In-Space Propulsion Technologies; Z10.03,Focus Area 1 In-Space Propulsion Technologies; Z10.03,TA2.2 Non-Chemical Propulsion; H2.02,TA2.2 Non-Chemical Propulsion; H2.02,TA2.2 Non-Chemical Propulsion; H2.03,,,,,,,,,
Nuclear Thermal Propulsion (NTP) Ground Test Technologies,,,,,,,,,TA2.4 Supporting Technologies; H2.04,,,,,,,,,
Objective Sleep Measures for Spaceflight Operations,,,,,,,,,TA6.3 Human Health and Performance; H12.03,,,,,,,,,
On Orbit Ambient Biological Sample Preservation Techniques,,,,,,,,,,,,,,Topic X14 Inflight Biological Sample Preservation and Analysis; X14.01,,,,
On Orbit Cell Counting and Analysis Capability,,,,,,,,,,,,,,Topic X14 Inflight Biological Sample Preservation and Analysis; X14.02,,,,
On-Board Data Processing and Control,,,,,,,,,,,,,,,Topic S6 Information Technologies; S6.03,,,
On-Board Flight Envelope Estimation for Unimpaired and Impaired Aircraft,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.07,Topic A1 Aviation Safety; A1.13,,,
On-Board Science for Decisions and Actions,,,,,,,,,,,,,,,, and Analysis for Science; S8.03, and Analysis for Science ; S9.04,Topic E3 Advanced Information Systems Technology For Earth Science; E3.05
 and Timing) Sensors and Components,,,,,,,,,,,,Topic O4 Navigation; O4.02,Topic O4 Navigation; O4.02,,,,,
Onboard Propulsion,,,,,,,,,,,,,,,,,,Topic E2 Platform Technologies for Earth Science; E2.04
Open Rotor Installed Thrust,,,,,,,,,,,,Topic A5 Integrated System Research Project  (ISRP); A5.02,,,,,,
 and Systems for ISS Utilization,,,,,,,,TA8.3 Sensor Systems; H14.04,,,,,,,,,,
Optical Devices for Starlight Detection and Wavefront Analysis,,,,,,,,,,,,,,Topic S2 Advanced Telescope Systems; S2.04,Topic S2 Advanced Telescope Systems; S2.04,Topic S3 Advanced Telescope Systems; S3.04,,
Optical Technologies,,,,,,,,,,,,,,,,,,Topic S2 Structure and Evolution of the Universe; S2.04
Optical Tracking and Image Analysis,,,,,,,,,,,,,,,Topic O2 Space Transportation; O2.01,,,
Optics Manufacturing and Metrology for Telescope Optical Surfaces,,,,,,,,,TA12.5 Cross-Cutting; S2.04,Topic S2 Advanced Telescope Systems; S2.04,Topic S2 Advanced Telescope Systems; S2.05,Topic S2 Advanced Telescope Systems; S2.05,Topic S2 Advanced Telescope Systems; S2.05,Topic S2 Advanced Telescope Systems; S2.05,Topic S2 Advanced Telescope Systems; S2.05,,,
Optics Manufacturing and Metrology for Telescopes,,,,,,,,,,,,,,,,Topic S4 Exploration of the Universe Beyond our Solar System; S4.04,,
 IR),,,,,,,,,,,,,,,,,Topic S4 Exploration of the Universe Beyond Our Solar System; S4.04,
Oxygen Production from Lunar Regolith,,,,,,,,,,,,,Topic X3 Lunar In-Situ Resource Utilization; X3.01,Topic X3 Lunar In Situ Resource Utilization; X3.02,Topic X5 Lunar In-Situ Resource Utilization (ISRU); X5.01,Topic X4 Lunar In Situ Resource Utilization (ISRU); X4.02,,
 and Timing) Sensors and Components,,,,,,,,,,,Topic O4 Navigation; O4.02,,,,,,,
Particle and Field Sensors and Instrument-Enabling Technologies, and Instruments; S14.02,,,,,,,,,,,,,,,,,
Particles and Field Sensors and Instrument Enabling Technologies,,,,, Detectors and Instruments; S1.06, Detectors and Instruments; S1.06,TA8.3 Sensor Systems; S1.05,TA8.1 Science Instruments; S1.05,TA8.3 Sensor Systems; S1.05, Detectors and Instruments; S1.05, Detectors and Instruments; S1.06, Detectors and Instruments; S1.06, Detectors and Instruments; S1.06, Detectors and Instruments; S1.06, and Instruments; S1.06,,,
Particles and Fields Sensors & Instrument Enabling Technologies,,, Detectors and Instruments; S1.06, Detectors and Instruments; S1.06,,,,,,,,,,,,,,
Particles and Fields Sensors and Instrument Enabling Technologies,, and Instruments; S1.06,,,,,,,,,,,,,,,,
Partnering Innovations for Security and Safety,,,,,,,,,,,,,,,,,,Topic B4 Partnerships and Market Driven Research; B4.04
Passive Infrared - Sub Millimeter,,,,,,,,,,,,,,,,,Topic S6 Earth-Sun System Instrument and Sensor Technology; S6.06,Topic E1 Instruments for Earth Science Measurements; E1.06
Passive Microwave,,,,,,,,,,,,,,,,Topic S6 Earth Science Instrument and Sensor Technology; S6.04,Topic S6 Earth-Sun System Instrument and Sensor Technology; S6.04,Topic E1 Instruments for Earth Science Measurements; E1.04
Passive Microwave Technologies,,,,,,,,,,, Detectors and Instruments; S1.03, Detectors and Instruments; S1.03, Detectors and Instruments; S1.03, Detectors and Instruments; S1.03, and Instruments; S1.03,,,
Passive Optics,,,,,,,,,,,,,,,,,Topic S6 Earth-Sun System Instrument and Sensor Technology; S6.01,Topic E1 Instruments for Earth Science Measurements; E1.01
Passive Optics and Stepping Motors for Spaceborne and Airborne Platforms,,,,,,,,,,,,,,,,Topic S6 Earth Science Instrument and Sensor Technology; S6.01,,
Passive Vital Sign Monitoring,,,,,,,TA6.3 Human Health and Performance; H12.02,,,,,,,,,,,
Payload Technologies for Assistive Free-Flyers,,,,,,,,TA4.1 Sensing & Perception; Z5.01,,,,,,,,,,
Payload Technologies for Free-Flying Robots,,,,,Focus Area 4 Robotic Systems for Space Exploration; Z5.03,Focus Area 4 Robotic Systems for Space Exploration; Z5.01,,,,,,,,,,,,
Payloads for Lunar Resources: Volatiles,,,,Focus Area 8 In-Situ Resource Utilization; Z12.02,,,,,,,,,,,,,,
Performance Demonstration of High Payoff Propulsion Technology: Rotating Detonation Engine and Dual Mode Ionic Liquid,,,,Focus Area 1 In-Space Propulsion Technologies; T2.03,,,,,,,,,,,,,,
Photonic Integrated Circuits,, and Instruments; T8.07,, Detectors and Instruments; T8.02, Detectors and Instruments; T8.02,,,,,,,,,,,,,
Photovoltaic Power Generation and Conversion, Energy and Storage; S16.01,,,,,,,,,,,,,,,,,
Physics-Based Computational Tools - Stability and Control/High Lift Design Tools,,,,,,,TA11.2 Modeling; A1.05,,,,,,,,,,,
Physics-Based Conceptual Aeronautics Design Tools,,,,,,,,TA11.2 Modeling; A1.05,,,,,,,,,,
Physics-Based Conceptual Design Tools,,,,,,,,,TA11.2 Modeling; A3.05,Topic A3 Air Vehicle Technologies; A3.06,,,,,,,,
Pilot Interactions with Adaptive Control Systems under Off-Nominal Conditions,,,,,,,,,,,,Topic A1 Aviation Safety; A1.09,Topic A1 Aviation Safety; A1.09,,,,,
Planetary Ascent Vehicles,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.08,Topic S3 Spacecraft and Platform Subsystems; S3.08,,,,,
Planetary Balloon Technology,,,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.06,,,,,
Planetary Balloons and Aerobots,,,,,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.05,Topic S2 Robotic Exploration Throughout the Solar System; S2.05,,
 Descent and Landing Technology,,,,,,,,,TA9.4 Vehicle Systems Technology; S4.01,Topic S4 Robotic Exploration Technologies; S4.01,Topic S5 Robotic Exploration Technologies; S5.01,Topic S5 Robotic Exploration Technologies; S5.01,Topic S5 Robotic Exploration Technologies; S5.01,,Topic S5 Robotic Exploration Technologies; S5.02,,,
 Descent and Landing and Small Body Proximity Operation Technology,,,,,, and Landing Systems; S4.01,TA9.4 Vehicle Systems Technology; S4.01,TA9.4 Vehicle Systems Technology; S4.01,,,,,,,,,,
 Rendezvous and Landing Technology,,,,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.01,,,,
Planetary Orbital Sensors and Sensor Systems (POSSS),,,,,,,,,,, Detectors and Instruments; S1.11,,,,,,,
Planetary Protection,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.06,Topic S5 Robotic Exploration Technologies; S5.06,,,,,,
Plant Research Capabilities in Space, and Instruments; S15.01,,,,,,,,,,,,,,,,,
Plasma Jet Printing Technology for Printable Electronics in Space,,,,,Focus Area 14 In-Space and Advanced Manufacturing; H7.03,,,,,,,,,,,,,
Platform Power Management and Distribution,,,,,,,,,,,,,,,,,Topic S8 Science Spacecraft Systems Technology; S8.06,Topic E2 Platform Technologies for Earth Science; E2.07
Portable Load Sensing Systems,,,,,,,,,,,Topic X12 Exploration Crew Health Capabilities; X12.02,,,,,,,
Portable Spatial Disorientation Simulator - Trainer,,Focus Area 7 Human Research and Health Maintenance; H12.03,,,,,,,,,,,,,,,,
 Components and Packaging,,,,,,,,,,,,,,,,Topic S7 Science Spacecraft Systems Technology; S7.05,,
 and Energy Storage,,,,Focus Area 2 Power Energy and Storage; S3.03, Energy and Storage; S3.03,Focus Area 2 Power Energy and Storage; S3.03,TA3.4 Cross Cutting Technology; S3.03,TA3.4 Cross Cutting Technology; S3.03,TA3.3 Power Management and Distribution; S3.03,Topic S3 Spacecraft and Platform Subsystems; S3.04,Topic S3 Spacecraft and Platform Subsystems; S3.05,,,,,,,
Power Generation & Transmission,,,,,,,,,,,,,,,,,Topic X3 Power Propulsion and Chemical Systems (PPCS); X3.01,
Power Generation and Conversion,, Energy and Storage; S3.01,Focus Area 2 Power Energy and Storage; S3.01,Focus Area 2 Power Energy and Storage; S3.01, Energy and Storage; S3.01,Focus Area 2 Power Energy and Storage; S3.01,TA3.1 Power Generation; S3.01,TA3.1 Power Generation; S3.01,TA3.4 Cross Cutting Technology; S3.01,Topic S3 Spacecraft and Platform Subsystems; S3.02,Topic S3 Spacecraft and Platform Subsystems; S3.03,Topic S3 Spacecraft and Platform Subsystems; S3.03,Topic S3 Spacecraft and Platform Subsystems; S3.03,,,,,
Power Generation and Storage,,,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.03,Topic S3 Spacecraft and Platform SubSystems; S3.03,,,
Power Management and Storage,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.05,Topic S3 Spacecraft and Platform Subsystems; S3.05,,,,,
Precision Constellations for Interferometry,,,,,,,,,,,,,,,,,,Topic S3 Astronomical Search for Origins; S3.01
Precision Deployable Lightweight Cryogenic Structures for Large Space Telescopes,,,,,,,,,,,,,,,,,Topic S3 Astronomical Observatories to Seek Earth-like Extrasolar Planets and Environments; S3.03,Topic S3 Astronomical Search for Origins; S3.03
